speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
2768000	256	2171949.1439008103	 2180739.931962427	2186290.3008399084	2220195.0354096666	1941666.9511754068	48245.89150885632	0.0	1210498124.1071787	34792.21355572506
2769000	256	2165001.106153684	 2174666.985316456	2186290.3008399084	2195229.8982877587	1900848.548793981	30228.792134074494	0.0	1129352330.5240083	33605.83774471347
2770000	256	2119485.4040326797	 2112105.8746004426	-1	2311607.801937567	1936851.0917700112	192122.39790488733	0.0	3015903595.7663918	54917.24315519117
2771000	256	2167999.028501921	 2175217.6733350214	2184622.2258392675	2217329.5281362934	1893307.1615605026	49330.499634372536	0.0	918854876.7770176	30312.6191012426
2772000	256	1955510.8818853013	 2036011.9914671723	-1	2288818.1699973354	210069.0761292216	333307.2881120341	0.0	106637606737.7133	326554.14059189835
2773000	256	2170903.1834792807	 2184900.0968931774	2187960.9251146205	2227102.564687581	278857.76496558887	56199.381208300125	0.0	8541117724.561311	92418.16771913038
2774000	256	2187973.055281741	 2185733.992875318	2190192.3997960226	2412902.975280899	1695939.7022704836	224929.919999158	0.0	4639119030.480757	68111.07861780458
2775000	256	2111815.655643396	 2122019.4150197627	2132026.456192604	2155026.239839438	1661817.4873283033	43210.584196041804	0.0	1782820570.7414622	42223.45995701278
2776000	256	2173330.7179510877	 2183511.5892221658	2179080.3125317097	2216757.314064516	523457.31822059717	43426.59611342847	0.0	4271969690.799185	65360.30669144067
2777000	256	2122913.7661346835	 2169997.405342099	2167533.3313146606	2400764.2794857463	608438.489304434	277850.5133510628	0.0	39493364274.951485	198729.37446424845
2778000	256	2057002.8228332524	 2146946.911272182	-1	2412902.975280899	143998.36708966858	355900.1524476467	0.0	94473162718.55135	307364.8690376819
2779000	256	2164091.3646042873	 2228836.1681370004	-1	2442403.921524026	207071.20005785502	278312.55691973865	0.0	58338378046.756805	241533.389093013
2780000	256	2237184.7776983366	 2245734.5338562094	2245734.5338562094	2279706.6326963906	1880870.2850886798	42521.85499805398	0.0	1605569640.1149971	40069.56001898445
2781000	256	2100635.4558255565	 2147483.648	2184066.76633613	2198601.1241361657	958484.1097969203	97965.66831060918	0.0	30757588913.76078	175378.41632812397
2782000	256	2207173.372936326	 2215042.442496132	2224795.2841232843	2258132.1219768664	1955368.6756203051	50958.74904054031	0.0	1480910637.086009	38482.60174528236
2783000	256	2226460.6750695435	 2223643.435671758	-1	2457075.1121281465	1808407.282526316	230614.43705860293	0.0	5316368963.9007	72913.43472845522
2784000	256	2153751.3952738876	 2164802.064516129	2172467.018715225	2201418.3987698616	1856480.3527123407	47667.003495974	0.0	1889761050.915464	43471.381976139935
2785000	256	2078553.257178479	 2087976.3228001944	-1	2124643.7279248084	1821444.994062765	46090.47074632929	0.0	1384704674.6832397	37211.6201566559
2786000	256	2148736.2449851045	 2156649.4079839317	2161533.6165072974	2196352.4909230378	1892472.9217889402	47616.245937933214	0.0	1181192953.316773	34368.48779502486
2787000	256	2176180.2356619025	 2213330.2221077043	2250441.3392716795	2447972.240524366	989281.8832200852	271792.00486246357	0.0	36149411532.684425	190129.98588514235
2788000	256	2089677.6323982724	 2096128.4997559786	2119924.6278381045	2128328.689791873	1825703.420191286	38651.0573936007	0.0	1158373687.0583785	34034.88926173227
2789000	256	2159102.9072696785	 2168080.411913175	2185733.992875318	2201982.720328121	1812604.893859464	42879.813058442436	0.0	1732309067.029216	41621.01713112278
2790000	256	2095823.2506756897	 2090517.0581650035	2093574.114550329	2348901.99398414	1808407.282526316	253078.74330845033	0.0	5304640956.910705	72832.9661411006
2791000	256	2100867.2710017553	 2153945.48445336	2167533.3313146606	2194669.032192131	279338.3822314721	93801.76119037578	0.0	26573884219.9505	163014.98158129668
