speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
1049000	8	394132.3011907693	 399457.5238095238	396507.3205317578	430185.0256410256	32021.407133484434	36052.724450256326	0.0	917609161.9202133	30292.064339034627
1050000	8	383627.24247295747	 391876.57810218976	393600.3753665689	420086.7856025039	26937.827997992976	36459.54312954645	0.0	1274687018.700862	35702.7592589265
1051000	8	394369.7792757332	 397682.157037037	397682.157037037	426088.0253968254	185000.31426602343	31718.246121092176	0.0	595744576.9790807	24407.879403567214
1052000	8	394584.37292581523	 398863.97622585436	-1	424739.64556962025	149713.02621305076	30155.272643805016	0.0	502105427.91353023	22407.709117924802
1053000	8	393722.6379929855	 399457.5238095238	406720.3878787879	429496.7296	58368.222657099366	35774.09160701453	0.0	643003145.508324	25357.506689505655
1054000	8	399255.60100238107	 404270.265060241	411080.33078101074	429496.7296	195225.78618181817	30241.128597618954	0.0	444602404.3014475	21085.597081928874
1055000	8	388128.0733808074	 393600.3753665689	395922.50147492625	422068.3270440252	165292.7684729064	33940.253663217765	0.0	579120289.989637	24064.91824190635
1056000	8	407109.70200159634	 411080.33078101074	-1	435065.56888168555	33634.313494549555	27955.86688008922	0.0	676265078.4823241	26005.09716348555
1057000	8	382913.00951688056	 388473.88712011575	-1	403056.24024024024	168509.3885750157	20143.23072335968	0.0	466447497.1505802	21597.395610364234
1058000	8	403326.46804508317	 408577.55859969556	413613.95377503854	430185.0256410256	221481.399339934	26858.55759594246	0.0	492933310.2715266	22202.10148322736
1059000	8	395777.2534920151	 400649.9343283582	-1	420745.2288401254	159214.38671411626	24967.975348110253	0.0	519313227.9128203	22788.44505254407
10000	16	7849.1462734770175	 7853.123164238488	7852.893426557061	7862.553996660906	6862.110152485397	13.407723183888265	0.0	1154.7735297961046	33.98195888697567
11000	16	8600.23760062036	 8603.424762026858	-1	8610.461933248866	8458.656247045848	10.22433262850609	0.0	180.36725825450313	13.43008779772132
12000	16	9369.536414561513	 9373.891921149581	-1	9388.481253497483	8041.443793718077	18.94483893596953	0.0	1949.3523697679723	44.151470754301855
13000	16	10143.687300752128	 10146.870383670384	10148.788506616256	10161.850999394306	10030.095878638418	18.163698642178133	0.0	246.98838891848655	15.715864243447975
14000	16	10911.336187788651	 10915.782119838155	10916.891943551995	10932.453205180418	10747.090621559404	21.11701739176715	0.0	484.41348285832674	22.009395331501654
