speed_hz[hz]	send_bytes[byte]	average_throughput[bps]	median_throughput[bps]	mode_throughput[bps]	max_throughput[bps]	min_throughput[bps]	fluctuation[bps]	error_rate	variance[bps^2]	standard deviation[bps]
37000	64	26213.072971114038	 26171.271074279448	26182.758238944636	26845.55901692627	23765.86595838867	632.4860458122312	0.015	43682.28993113077	209.00308593686069
38000	64	26812.35201480551	 26832.14193967564	26851.936830259456	26860.3333083177	24525.852535404294	47.98129351218813	1.0	15763.085514229473	125.55112709262897
38400	64	27211.22865282011	 27234.876736182392	27244.72416330466	27293.20108792354	26163.299805068225	81.97243510342742	1.0	9252.814694710869	96.19155209638146
39000	64	27502.601609181194	 27520.198480130202	27538.19660947398	27548.7947454844	24732.047080502132	46.19313630320539	1.0	20368.38096709137	142.71783689185935
40000	64	28171.386744198382	 28191.819360936803	28192.929697653963	28206.6310452623	27491.661520342062	35.2443010639181	1.0	3851.2196424674207	62.05819561079279
41000	64	28865.883537755493	 28880.33093950886	28884.60392483893	28899.763793938742	28016.0158639044	33.880256183249	1.0	3354.057920720629	57.9142290004851
42000	64	29530.947029030016	 29555.23875584916	29557.679522118535	29573.147075024786	29055.780053850005	42.200045994770335	1.0	3360.826356682379	57.97263455012528
43000	64	30206.109751795237	 30227.090548244072	30229.643547910302	30252.213788634377	29556.052299815576	46.10403683914046	1.0	3127.930233895751	55.92790210526183
44000	64	30913.495070014123	 30897.711580795072	-1	31825.888434406308	26844.216705417635	912.3933643921846	1.0	143138.7067704307	378.3367637045476
45000	64	31547.65810456252	 31572.284512923048	31578.319947062715	31591.791926562317	30540.90376164403	44.133821999796055	1.0	5101.263561940863	71.4231304406413
46000	64	32196.93325499999	 32218.134531364576	32234.335239639153	32257.092077988404	31183.963522834532	60.15882298841461	1.0	5505.215951708668	74.19714247670639
47000	64	32825.95966348278	 32865.790973508214	32875.350540399864	32889.95218476713	25353.69887014321	63.99252128434455	1.0	65322.42958469793	255.58252988946236
